=== 都道府県コード（47件） ===
コード,都道府県名
01,北海道
02,青森県
03,岩手県
04,宮城県
05,秋田県
06,山形県
07,福島県
08,茨城県
09,栃木県
10,群馬県
11,埼玉県
12,千葉県
13,東京都
14,神奈川県
15,新潟県
16,富山県
17,石川県
18,福井県
19,山梨県
20,長野県
21,岐阜県
22,静岡県
23,愛知県
24,三重県
25,滋賀県
26,京都府
27,大阪府
28,兵庫県
29,奈良県
30,和歌山県
31,鳥取県
32,島根県
33,岡山県
34,広島県
35,山口県
36,徳島県
37,香川県
38,愛媛県
39,高知県
40,福岡県
41,佐賀県
42,長崎県
43,熊本県
44,大分県
45,宮崎県
46,鹿児島県
47,沖縄県

=== 市区町村コード（サンプル） ===
総数: 1918 市区町村（全国コード00000を除く）

コード,名称,都道府県
02446,階上町,青森県
02450,新郷村,青森県
03201,盛岡市,岩手県
03202,宮古市,岩手県
03203,大船渡市,岩手県
03205,花巻市,岩手県
03206,北上市,岩手県
03207,久慈市,岩手県
03208,遠野市,岩手県
03209,一関市,岩手県
03210,陸前高田市,岩手県
03211,釜石市,岩手県
03213,二戸市,岩手県
03214,八幡平市,岩手県
03215,奥州市,岩手県
03216,滝沢市,岩手県
03301,雫石町,岩手県
03302,葛巻町,岩手県
03303,岩手町,岩手県
03321,紫波町,岩手県
03322,矢巾町,岩手県
03366,西和賀町,岩手県
03381,金ケ崎町,岩手県
03402,平泉町,岩手県
03441,住田町,岩手県
03461,大槌町,岩手県
03482,山田町,岩手県
03483,岩泉町,岩手県
03484,田野畑村,岩手県
03485,普代村,岩手県
03501,軽米町,岩手県
03503,野田村,岩手県
03506,九戸村,岩手県
03507,洋野町,岩手県
03524,一戸町,岩手県
04100,仙台市,宮城県
04101,仙台市青葉区,宮城県
04102,仙台市宮城野区,宮城県
04103,仙台市若林区,宮城県
04104,仙台市太白区,宮城県
04105,仙台市泉区,宮城県
04202,石巻市,宮城県
04203,塩竈市,宮城県
04205,気仙沼市,宮城県
04206,白石市,宮城県
04207,名取市,宮城県
04208,角田市,宮城県
04209,多賀城市,宮城県
04211,岩沼市,宮城県
04212,登米市,宮城県
04213,栗原市,宮城県
04214,東松島市,宮城県
04215,大崎市,宮城県
04216,富谷市,宮城県
04301,蔵王町,宮城県
04302,七ヶ宿町,宮城県
04321,大河原町,宮城県
04322,村田町,宮城県
04323,柴田町,宮城県
04324,川崎町,宮城県
04341,丸森町,宮城県
04361,亘理町,宮城県
04362,山元町,宮城県
04401,松島町,宮城県
04404,七ヶ浜町,宮城県
04406,利府町,宮城県
04421,大和町,宮城県
04422,大郷町,宮城県
04424,大衡村,宮城県
04444,色麻町,宮城県
04445,加美町,宮城県
04501,涌谷町,宮城県
04505,美里町,宮城県
04581,女川町,宮城県
04606,南三陸町,宮城県
05201,秋田市,秋田県
05202,能代市,秋田県
05203,横手市,秋田県
05204,大館市,秋田県
05206,男鹿市,秋田県
05207,湯沢市,秋田県
05209,鹿角市,秋田県
05210,由利本荘市,秋田県
05211,潟上市,秋田県
05212,大仙市,秋田県
05213,北秋田市,秋田県
05214,にかほ市,秋田県
05215,仙北市,秋田県
05303,小坂町,秋田県
05327,上小阿仁村,秋田県
05346,藤里町,秋田県
05348,三種町,秋田県
05349,八峰町,秋田県
05361,五城目町,秋田県
05363,八郎潟町,秋田県
05366,井川町,秋田県
05368,大潟村,秋田県
05434,美郷町,秋田県
05463,羽後町,秋田県
05464,東成瀬村,秋田県
06201,山形市,山形県
06202,米沢市,山形県
06203,鶴岡市,山形県
06204,酒田市,山形県
06205,新庄市,山形県
06206,寒河江市,山形県
06207,上山市,山形県
06208,村山市,山形県
06209,長井市,山形県
06210,天童市,山形県
06211,東根市,山形県
06212,尾花沢市,山形県
06213,南陽市,山形県
06301,山辺町,山形県
06302,中山町,山形県
06321,河北町,山形県
06322,西川町,山形県
06323,朝日町,山形県
06324,大江町,山形県
06341,大石田町,山形県
06361,金山町,山形県
06362,最上町,山形県
06363,舟形町,山形県
06364,真室川町,山形県
06365,大蔵村,山形県
06366,鮭川村,山形県
06367,戸沢村,山形県
06381,高畠町,山形県
06382,川西町,山形県
06401,小国町,山形県
06402,白鷹町,山形県
06403,飯豊町,山形県
06426,三川町,山形県
06428,庄内町,山形県
06461,遊佐町,山形県
07201,福島市,福島県
07202,会津若松市,福島県
07203,郡山市,福島県
07204,いわき市,福島県
07205,白河市,福島県
07207,須賀川市,福島県
07208,喜多方市,福島県
07209,相馬市,福島県
07210,二本松市,福島県
07211,田村市,福島県
07212,南相馬市,福島県
07213,伊達市,福島県
07214,本宮市,福島県
07301,桑折町,福島県
07303,国見町,福島県
07308,川俣町,福島県
07322,大玉村,福島県
07342,鏡石町,福島県
07344,天栄村,福島県
07362,下郷町,福島県
07364,檜枝岐村,福島県
07367,只見町,福島県
07368,南会津町,福島県
07402,北塩原村,福島県
07405,西会津町,福島県
07407,磐梯町,福島県
07408,猪苗代町,福島県
07421,会津坂下町,福島県
07422,湯川村,福島県
07423,柳津町,福島県
07444,三島町,福島県
07445,金山町,福島県
07446,昭和村,福島県
07447,会津美里町,福島県
07461,西郷村,福島県
07464,泉崎村,福島県
07465,中島村,福島県
07466,矢吹町,福島県
07481,棚倉町,福島県
07482,矢祭町,福島県
07483,塙町,福島県
07484,鮫川村,福島県
07501,石川町,福島県
07502,玉川村,福島県
07503,平田村,福島県
07504,浅川町,福島県
07505,古殿町,福島県
07521,三春町,福島県
07522,小野町,福島県
07541,広野町,福島県
07542,楢葉町,福島県
07543,富岡町,福島県
07544,川内村,福島県
07545,大熊町,福島県
07546,双葉町,福島県
07547,浪江町,福島県
07548,葛尾村,福島県
07561,新地町,福島県
07564,飯舘村,福島県
08201,水戸市,茨城県
08202,日立市,茨城県
08203,土浦市,茨城県
08204,古河市,茨城県
08205,石岡市,茨城県
08207,結城市,茨城県
08208,龍ケ崎市,茨城県
08210,下妻市,茨城県
08211,常総市,茨城県
08212,常陸太田市,茨城県
08214,高萩市,茨城県
08215,北茨城市,茨城県
08216,笠間市,茨城県
08217,取手市,茨城県
08219,牛久市,茨城県
08220,つくば市,茨城県
08221,ひたちなか市,茨城県
08222,鹿嶋市,茨城県
08223,潮来市,茨城県
08224,守谷市,茨城県
08225,常陸大宮市,茨城県
08226,那珂市,茨城県
08227,筑西市,茨城県
08228,坂東市,茨城県
08229,稲敷市,茨城県
08230,かすみがうら市,茨城県
08231,桜川市,茨城県
08232,神栖市,茨城県
08233,行方市,茨城県
08234,鉾田市,茨城県
08235,つくばみらい市,茨城県
08236,小美玉市,茨城県
08302,茨城町,茨城県
08309,大洗町,茨城県
08310,城里町,茨城県
08341,東海村,茨城県
08364,大子町,茨城県
08442,美浦村,茨城県
08443,阿見町,茨城県
08447,河内町,茨城県
08521,八千代町,茨城県
08542,五霞町,茨城県
08546,境町,茨城県
08564,利根町,茨城県
09201,宇都宮市,栃木県
09202,足利市,栃木県
09203,栃木市,栃木県
09204,佐野市,栃木県
09205,鹿沼市,栃木県
09206,日光市,栃木県
09208,小山市,栃木県
09209,真岡市,栃木県
09210,大田原市,栃木県
09211,矢板市,栃木県
09213,那須塩原市,栃木県
09214,さくら市,栃木県
09215,那須烏山市,栃木県
09216,下野市,栃木県
09301,上三川町,栃木県
09342,益子町,栃木県
09343,茂木町,栃木県
09344,市貝町,栃木県
09345,芳賀町,栃木県
09361,壬生町,栃木県
09364,野木町,栃木県
09384,塩谷町,栃木県
09386,高根沢町,栃木県
09407,那須町,栃木県
09411,那珂川町,栃木県
10201,前橋市,群馬県
10202,高崎市,群馬県
10203,桐生市,群馬県
10204,伊勢崎市,群馬県
10205,太田市,群馬県
10206,沼田市,群馬県
10207,館林市,群馬県
10208,渋川市,群馬県
10209,藤岡市,群馬県
10210,富岡市,群馬県
10211,安中市,群馬県
10212,みどり市,群馬県
10344,榛東村,群馬県
10345,吉岡町,群馬県
10366,上野村,群馬県
10367,神流町,群馬県
10382,下仁田町,群馬県
10383,南牧村,群馬県
10384,甘楽町,群馬県
10421,中之条町,群馬県
10424,長野原町,群馬県
10425,嬬恋村,群馬県
10426,草津町,群馬県
10428,高山村,群馬県
10429,東吾妻町,群馬県
10443,片品村,群馬県
10444,川場村,群馬県
10448,昭和村,群馬県
10449,みなかみ町,群馬県
10464,玉村町,群馬県
10521,板倉町,群馬県
10522,明和町,群馬県
10523,千代田町,群馬県
10524,大泉町,群馬県
10525,邑楽町,群馬県
11100,さいたま市,埼玉県
11101,さいたま市西区,埼玉県
11102,さいたま市北区,埼玉県
11103,さいたま市大宮区,埼玉県
11104,さいたま市見沼区,埼玉県
11105,さいたま市中央区,埼玉県
11106,さいたま市桜区,埼玉県
11107,さいたま市浦和区,埼玉県
11108,さいたま市南区,埼玉県
11109,さいたま市緑区,埼玉県
11110,さいたま市岩槻区,埼玉県
11201,川越市,埼玉県
11202,熊谷市,埼玉県
11203,川口市,埼玉県
11206,行田市,埼玉県
11207,秩父市,埼玉県
11208,所沢市,埼玉県
11209,飯能市,埼玉県
11210,加須市,埼玉県
11211,本庄市,埼玉県
11212,東松山市,埼玉県
11214,春日部市,埼玉県
11215,狭山市,埼玉県
11216,羽生市,埼玉県
11217,鴻巣市,埼玉県
11218,深谷市,埼玉県
11219,上尾市,埼玉県
11221,草加市,埼玉県
11222,越谷市,埼玉県
11223,蕨市,埼玉県
11224,戸田市,埼玉県
11225,入間市,埼玉県
11227,朝霞市,埼玉県
11228,志木市,埼玉県
11229,和光市,埼玉県
11230,新座市,埼玉県
11231,桶川市,埼玉県
11232,久喜市,埼玉県
11233,北本市,埼玉県
11234,八潮市,埼玉県
11235,富士見市,埼玉県
11237,三郷市,埼玉県
11238,蓮田市,埼玉県
11239,坂戸市,埼玉県
11240,幸手市,埼玉県
11241,鶴ヶ島市,埼玉県
11242,日高市,埼玉県
11243,吉川市,埼玉県
11245,ふじみ野市,埼玉県
11246,白岡市,埼玉県
11301,伊奈町,埼玉県
11324,三芳町,埼玉県
11326,毛呂山町,埼玉県
11327,越生町,埼玉県
11341,滑川町,埼玉県
11342,嵐山町,埼玉県
11343,小川町,埼玉県
11346,川島町,埼玉県
11347,吉見町,埼玉県
11348,鳩山町,埼玉県
11349,ときがわ町,埼玉県
11361,横瀬町,埼玉県
11362,皆野町,埼玉県
11363,長瀞町,埼玉県
11365,小鹿野町,埼玉県
11369,東秩父村,埼玉県
11381,美里町,埼玉県
11383,神川町,埼玉県
11385,上里町,埼玉県
11408,寄居町,埼玉県
11442,宮代町,埼玉県
11464,杉戸町,埼玉県
11465,松伏町,埼玉県
12100,千葉市,千葉県
12101,千葉市中央区,千葉県
12102,千葉市花見川区,千葉県
12103,千葉市稲毛区,千葉県
12104,千葉市若葉区,千葉県
12105,千葉市緑区,千葉県
12106,千葉市美浜区,千葉県
12202,銚子市,千葉県
12203,市川市,千葉県
12204,船橋市,千葉県
12205,館山市,千葉県
12206,木更津市,千葉県
12207,松戸市,千葉県
12208,野田市,千葉県
12210,茂原市,千葉県
12211,成田市,千葉県
12212,佐倉市,千葉県
12213,東金市,千葉県
12215,旭市,千葉県
12216,習志野市,千葉県
12217,柏市,千葉県
12218,勝浦市,千葉県
12219,市原市,千葉県
12220,流山市,千葉県
12221,八千代市,千葉県
12222,我孫子市,千葉県
12223,鴨川市,千葉県
12224,鎌ケ谷市,千葉県
12225,君津市,千葉県
12226,富津市,千葉県
12227,浦安市,千葉県
12228,四街道市,千葉県
12229,袖ケ浦市,千葉県
12230,八街市,千葉県
12231,印西市,千葉県
12232,白井市,千葉県
12233,富里市,千葉県
12234,南房総市,千葉県
12235,匝瑳市,千葉県
12236,香取市,千葉県
12237,山武市,千葉県
12238,いすみ市,千葉県
12239,大網白里市,千葉県
12322,酒々井町,千葉県
12329,栄町,千葉県
12342,神崎町,千葉県
12347,多古町,千葉県
12349,東庄町,千葉県
12403,九十九里町,千葉県
12409,芝山町,千葉県
12410,横芝光町,千葉県
12421,一宮町,千葉県
12422,睦沢町,千葉県
12423,長生村,千葉県
12424,白子町,千葉県
12426,長柄町,千葉県
12427,長南町,千葉県
12441,大多喜町,千葉県
12443,御宿町,千葉県
12463,鋸南町,千葉県
13100,特別区部,東京都
13101,千代田区,東京都
13102,中央区,東京都
13103,港区,東京都
13104,新宿区,東京都
13105,文京区,東京都
13106,台東区,東京都
13107,墨田区,東京都
13108,江東区,東京都
13109,品川区,東京都
13110,目黒区,東京都
13111,大田区,東京都
13112,世田谷区,東京都
13113,渋谷区,東京都
13114,中野区,東京都
13115,杉並区,東京都
13116,豊島区,東京都
13117,北区,東京都
13118,荒川区,東京都
13119,板橋区,東京都
13120,練馬区,東京都
13121,足立区,東京都
13122,葛飾区,東京都
13123,江戸川区,東京都
13199,境界未定地域,東京都
13201,八王子市,東京都
13202,立川市,東京都
13203,武蔵野市,東京都
13204,三鷹市,東京都
13205,青梅市,東京都
13206,府中市,東京都
13207,昭島市,東京都
13208,調布市,東京都
13209,町田市,東京都
13210,小金井市,東京都
13211,小平市,東京都
13212,日野市,東京都
13213,東村山市,東京都
13214,国分寺市,東京都
13215,国立市,東京都
13218,福生市,東京都
13219,狛江市,東京都
13220,東大和市,東京都
13221,清瀬市,東京都
13222,東久留米市,東京都
13223,武蔵村山市,東京都
13224,多摩市,東京都
13225,稲城市,東京都
13227,羽村市,東京都
13228,あきる野市,東京都
13229,西東京市,東京都
13303,瑞穂町,東京都
13305,日の出町,東京都
13307,檜原村,東京都
13308,奥多摩町,東京都
13361,大島町,東京都
13362,利島村,東京都
13363,新島村,東京都
13364,神津島村,東京都
13381,三宅村,東京都
13382,御蔵島村,東京都
13401,八丈町,東京都
13402,青ヶ島村,東京都
13421,小笠原村,東京都
14100,横浜市,神奈川県
14101,横浜市鶴見区,神奈川県
14102,横浜市神奈川区,神奈川県
14103,横浜市西区,神奈川県
14104,横浜市中区,神奈川県
14105,横浜市南区,神奈川県
14106,横浜市保土ケ谷区,神奈川県
14107,横浜市磯子区,神奈川県
14108,横浜市金沢区,神奈川県
14109,横浜市港北区,神奈川県
14110,横浜市戸塚区,神奈川県
14111,横浜市港南区,神奈川県
14112,横浜市旭区,神奈川県
14113,横浜市緑区,神奈川県
14114,横浜市瀬谷区,神奈川県
14115,横浜市栄区,神奈川県
14116,横浜市泉区,神奈川県
14117,横浜市青葉区,神奈川県
14118,横浜市都筑区,神奈川県
14130,川崎市,神奈川県
14131,川崎市川崎区,神奈川県
14132,川崎市幸区,神奈川県
14133,川崎市中原区,神奈川県
14134,川崎市高津区,神奈川県
14135,川崎市多摩区,神奈川県
14136,川崎市宮前区,神奈川県
14137,川崎市麻生区,神奈川県
14150,相模原市,神奈川県
14151,相模原市緑区,神奈川県
14152,相模原市中央区,神奈川県
14153,相模原市南区,神奈川県
14201,横須賀市,神奈川県
14203,平塚市,神奈川県
14204,鎌倉市,神奈川県
14205,藤沢市,神奈川県
14206,小田原市,神奈川県
14207,茅ヶ崎市,神奈川県
14208,逗子市,神奈川県
14210,三浦市,神奈川県
14211,秦野市,神奈川県
14212,厚木市,神奈川県
14213,大和市,神奈川県
14214,伊勢原市,神奈川県
14215,海老名市,神奈川県
14216,座間市,神奈川県
14217,南足柄市,神奈川県
14218,綾瀬市,神奈川県
14301,葉山町,神奈川県
14321,寒川町,神奈川県
14341,大磯町,神奈川県
14342,二宮町,神奈川県
14361,中井町,神奈川県
14362,大井町,神奈川県
14363,松田町,神奈川県
14364,山北町,神奈川県
14366,開成町,神奈川県
14382,箱根町,神奈川県
14383,真鶴町,神奈川県
14384,湯河原町,神奈川県
14401,愛川町,神奈川県
14402,清川村,神奈川県
15100,新潟市,新潟県
15101,新潟市北区,新潟県
15102,新潟市東区,新潟県
15103,新潟市中央区,新潟県
15104,新潟市江南区,新潟県
15105,新潟市秋葉区,新潟県
15106,新潟市南区,新潟県
15107,新潟市西区,新潟県
15108,新潟市西蒲区,新潟県
15202,長岡市,新潟県
15204,三条市,新潟県
15205,柏崎市,新潟県
15206,新発田市,新潟県
15208,小千谷市,新潟県
15209,加茂市,新潟県
15210,十日町市,新潟県
15211,見附市,新潟県
15212,村上市,新潟県
15213,燕市,新潟県
15216,糸魚川市,新潟県
15217,妙高市,新潟県
15218,五泉市,新潟県
15222,上越市,新潟県
15223,阿賀野市,新潟県
15224,佐渡市,新潟県
15225,魚沼市,新潟県
15226,南魚沼市,新潟県
15227,胎内市,新潟県
15307,聖籠町,新潟県
15342,弥彦村,新潟県
15361,田上町,新潟県
15385,阿賀町,新潟県
15405,出雲崎町,新潟県
15461,湯沢町,新潟県
15482,津南町,新潟県
15504,刈羽村,新潟県
15581,関川村,新潟県
15586,粟島浦村,新潟県
16201,富山市,富山県
16202,高岡市,富山県
16204,魚津市,富山県
16205,氷見市,富山県
16206,滑川市,富山県
16207,黒部市,富山県
16208,砺波市,富山県
16209,小矢部市,富山県
16210,南砺市,富山県
16211,射水市,富山県
16321,舟橋村,富山県
16322,上市町,富山県
16323,立山町,富山県
16342,入善町,富山県
16343,朝日町,富山県
17201,金沢市,石川県
17202,七尾市,石川県
17203,小松市,石川県
17204,輪島市,石川県
17205,珠洲市,石川県
17206,加賀市,石川県
17207,羽咋市,石川県
17209,かほく市,石川県
17210,白山市,石川県
17211,能美市,石川県
17212,野々市市,石川県
17324,川北町,石川県
17361,津幡町,石川県
17365,内灘町,石川県
17384,志賀町,石川県
17386,宝達志水町,石川県
17407,中能登町,石川県
17461,穴水町,石川県
17463,能登町,石川県
18201,福井市,福井県
18202,敦賀市,福井県
18204,小浜市,福井県
18205,大野市,福井県
18206,勝山市,福井県
18207,鯖江市,福井県
18208,あわら市,福井県
18209,越前市,福井県
18210,坂井市,福井県
18322,永平寺町,福井県
18382,池田町,福井県
18404,南越前町,福井県
18423,越前町,福井県
18442,美浜町,福井県
18481,高浜町,福井県
18483,おおい町,福井県
18501,若狭町,福井県
19201,甲府市,山梨県
19202,富士吉田市,山梨県
19204,都留市,山梨県
19205,山梨市,山梨県
19206,大月市,山梨県
19207,韮崎市,山梨県
19208,南アルプス市,山梨県
19209,北杜市,山梨県
19210,甲斐市,山梨県
19211,笛吹市,山梨県
19212,上野原市,山梨県
19213,甲州市,山梨県
19214,中央市,山梨県
19346,市川三郷町,山梨県
19364,早川町,山梨県
19365,身延町,山梨県
19366,南部町,山梨県
19368,富士川町,山梨県
19384,昭和町,山梨県
19422,道志村,山梨県
19423,西桂町,山梨県
19424,忍野村,山梨県
19425,山中湖村,山梨県
19429,鳴沢村,山梨県
19430,富士河口湖町,山梨県
19442,小菅村,山梨県
19443,丹波山村,山梨県
20201,長野市,長野県
20202,松本市,長野県
20203,上田市,長野県
20204,岡谷市,長野県
20205,飯田市,長野県
20206,諏訪市,長野県
20207,須坂市,長野県
20208,小諸市,長野県
20209,伊那市,長野県
20210,駒ヶ根市,長野県
20211,中野市,長野県
20212,大町市,長野県
20213,飯山市,長野県
20214,茅野市,長野県
20215,塩尻市,長野県
20217,佐久市,長野県
20218,千曲市,長野県
20219,東御市,長野県
20220,安曇野市,長野県
20303,小海町,長野県
20304,川上村,長野県
20305,南牧村,長野県
20306,南相木村,長野県
20307,北相木村,長野県
20309,佐久穂町,長野県
20321,軽井沢町,長野県
20323,御代田町,長野県
20324,立科町,長野県
20349,青木村,長野県
20350,長和町,長野県
20361,下諏訪町,長野県
20362,富士見町,長野県
20363,原村,長野県
20382,辰野町,長野県
20383,箕輪町,長野県
20384,飯島町,長野県
20385,南箕輪村,長野県
20386,中川村,長野県
20388,宮田村,長野県
20402,松川町,長野県
20403,高森町,長野県
20404,阿南町,長野県
20407,阿智村,長野県
20409,平谷村,長野県
20410,根羽村,長野県
20411,下條村,長野県
20412,売木村,長野県
20413,天龍村,長野県
20414,泰阜村,長野県
20415,喬木村,長野県
20416,豊丘村,長野県
20417,大鹿村,長野県
20422,上松町,長野県
20423,南木曽町,長野県
20425,木祖村,長野県
20429,王滝村,長野県
20430,大桑村,長野県
20432,木曽町,長野県
20446,麻績村,長野県
20448,生坂村,長野県
20450,山形村,長野県
20451,朝日村,長野県
20452,筑北村,長野県
20481,池田町,長野県
20482,松川村,長野県
20485,白馬村,長野県
20486,小谷村,長野県
20521,坂城町,長野県
20541,小布施町,長野県
20543,高山村,長野県
20561,山ノ内町,長野県
20562,木島平村,長野県
20563,野沢温泉村,長野県
20583,信濃町,長野県
20588,小川村,長野県
20590,飯綱町,長野県
20602,栄村,長野県
21201,岐阜市,岐阜県
21202,大垣市,岐阜県
21203,高山市,岐阜県
21204,多治見市,岐阜県
21205,関市,岐阜県
21206,中津川市,岐阜県
21207,美濃市,岐阜県
21208,瑞浪市,岐阜県
21209,羽島市,岐阜県
21210,恵那市,岐阜県
21211,美濃加茂市,岐阜県
21212,土岐市,岐阜県
21213,各務原市,岐阜県
21214,可児市,岐阜県
21215,山県市,岐阜県
21216,瑞穂市,岐阜県
21217,飛騨市,岐阜県
21218,本巣市,岐阜県
21219,郡上市,岐阜県
21220,下呂市,岐阜県
21221,海津市,岐阜県
21302,岐南町,岐阜県
21303,笠松町,岐阜県
21341,養老町,岐阜県
21361,垂井町,岐阜県
21362,関ケ原町,岐阜県
21381,神戸町,岐阜県
21382,輪之内町,岐阜県
21383,安八町,岐阜県
21401,揖斐川町,岐阜県
21403,大野町,岐阜県
21404,池田町,岐阜県
21421,北方町,岐阜県
21501,坂祝町,岐阜県
21502,富加町,岐阜県
21503,川辺町,岐阜県
21504,七宗町,岐阜県
